custid,평균구매가격,평균할부개월수,내점일수,수입상품_구매비율,주말방문비율,주구매코너,아침구매액,점심구매액,저녁구매액,봄구매액,여름구매액,가을구매액,겨울구매액,구매브랜드가치,gender
100001,137560,2.2,16,12.0,31.2,15,1788280.0,1513160.0,137560.0,962920.0000000001,1238040.0,687800.0,550240.0,2613640.0,0
100002,53156,1.3,29,0.0,20.7,13,212624.61538461538,1328903.8461538462,531561.5384615384,531561.5384615384,425249.23076923075,691030.0,425249.23076923075,956810.7692307692,0
100003,59264,1.8,12,0.0,41.7,13,177790.9090909091,1066745.4545454546,59263.63636363637,177790.9090909091,355581.8181818182,355581.8181818182,414845.45454545453,829690.9090909091,0
100004,145577,1.7,22,37.0,50.0,8,0.0,6114215.739130435,582306.2608695652,1310189.0869565217,2474801.608695652,727882.8260869565,2183648.4782608696,4512873.52173913,0
100005,49909,2.3,9,11.5,22.2,9,0.0,1297640.0,0.0,249546.15384615387,149727.6923076923,898366.1538461539,0.0,648820.0,0
100006,63000,1.4,12,11.8,25.0,7,0.0,378000.0,693000.0,126000.0,0.0,189000.0,756000.0,693000.0,0
100007,70675,1.8,4,12.5,50.0,3,70675.0,494725.0,0.0,0.0,494725.0,70675.0,0.0,353375.0,0
100008,62068,1.2,9,11.1,33.3,2,0.0,310338.8888888889,248271.1111111111,62067.777777777774,0.0,248271.1111111111,248271.1111111111,496542.22222222225,0
100009,88398,1.6,21,13.6,38.1,9,707185.4545454546,2651945.454545454,530389.0909090908,441990.90909090906,1502769.0909090908,441990.90909090906,1502769.0909090908,2651945.4545454546,0
100010,89174,1.3,16,19.2,43.8,14,267520.96153846156,2050994.0384615385,0.0,891736.5384615385,356694.6153846154,802562.8846153846,267520.96153846156,891736.5384615385,0
100011,68822,2.2,40,20.7,37.5,14,619397.6707317074,4404605.658536586,619397.6707317074,619397.6707317074,2339946.7560975607,1307617.3048780488,1376439.268292683,2202302.8292682925,0
100012,75495,1.5,17,3.3,29.4,13,1132420.0,1056925.3333333333,75494.66666666667,679452.0,1207914.6666666667,150989.33333333334,226484.0,2038356.0000000002,0
100013,69614,2.4,4,0.0,75.0,16,208842.85714285713,278457.14285714284,0.0,0.0,208842.85714285713,278457.14285714284,0.0,348071.4285714285,0
100014,48748,1.0,10,7.1,30.0,14,0.0,97496.0,584976.0,194992.0,97496.0,194992.0,194992.0,341236.0,0
100015,247046,1.9,6,33.3,50.0,7,494091.86666666664,1482275.6,1729321.5333333334,0.0,1482275.6,1976367.4666666666,247045.93333333332,2717505.2666666666,0
100016,210083,3.0,15,21.9,26.7,5,1050415.625,4201662.5,1470581.875,3151246.875,840332.5,1890748.125,840332.5,3781496.25,0
100017,80433,2.1,29,26.7,51.7,24,563033.3333333334,4745566.666666666,723900.0,1689100.0000000002,1367366.6666666665,1126066.6666666667,1849966.6666666665,2654300.0,0
100018,139100,2.2,11,50.0,27.3,8,1112800.0,1112800.0,0.0,1112800.0,556400.0,556400.0,0.0,1251900.0,0
100019,103500,1.0,2,100.0,0.0,24,0.0,414000.0,0.0,0.0,0.0,0.0,414000.0,310500.0,0
100020,321446,2.3,23,29.8,34.8,14,1928673.4468085105,7714693.787234042,5464574.765957447,1607227.8723404256,5464574.765957447,6750357.063829787,1285782.2978723403,10286258.382978724,0
100021,76333,3.0,1,33.3,0.0,13,0.0,229000.0,0.0,0.0,0.0,0.0,229000.0,229000.0,0
100022,79256,1.5,14,8.0,64.3,11,79256.0,1822888.0,79256.0,237768.0,396280.0,475536.0,871816.0,1347352.0,0
100023,63667,1.7,1,66.7,0.0,24,0.0,191000.0,0.0,0.0,191000.0,0.0,0.0,191000.0,0
100024,107407,2.4,34,16.3,32.4,12,2362950.1836734693,6122189.1122448975,2040729.7040816327,1718509.2244897957,2685170.663265306,2792577.4897959186,3329611.62244898,4511086.714285715,0
100025,87658,2.0,53,13.1,45.3,13,8152222.785714286,5434815.190476191,1139558.0238095238,3856965.6190476194,4558232.095238095,4119940.5476190476,2191457.738095238,7363298.0,1
100026,121565,2.3,19,3.4,63.2,14,486259.5862068965,2795992.620689655,243129.79310344826,1337213.8620689656,972519.172413793,364694.6896551724,850954.275862069,1945038.3448275863,0
100027,61398,2.2,11,45.0,18.2,8,0.0,982376.0,245594.0,122797.0,675383.5,429789.5,0.0,859579.0,0
100028,34604,1.4,8,9.1,50.0,24,0.0,207621.81818181818,173018.18181818182,0.0,173018.18181818182,173018.18181818182,34603.63636363637,380639.99999999994,0
100029,43534,1.7,55,0.0,32.7,9,1218963.619047619,4092235.0068027214,1088360.3741496599,1523704.5238095238,1393101.2789115645,2002583.0884353742,1480170.1088435375,2046117.5034013607,0
100030,123757,1.6,16,28.6,50.0,24,0.0,3093935.7142857146,1237574.2857142857,1980118.857142857,371272.28571428574,618787.1428571428,1361331.7142857143,3217693.1428571427,0
100031,113900,1.9,17,4.3,35.3,14,227800.4347826087,2278004.347826087,2733605.217391304,2505804.782608696,1708503.2608695652,911201.7391304348,113900.21739130435,1936303.695652174,0
100032,74589,2.3,5,0.0,60.0,24,0.0,671300.0,0.0,74588.88888888889,447533.3333333333,0.0,149177.77777777778,447533.3333333334,0
100033,119833,2.0,18,8.8,27.8,9,599164.705882353,2396658.823529412,1078496.4705882354,119832.94117647059,599164.705882353,2396658.823529412,958663.5294117647,2156992.9411764704,0
100034,14875,1.0,4,0.0,75.0,3,44625.0,59500.0,14875.0,0.0,0.0,0.0,119000.0,44625.0,0
100035,156067,1.0,4,50.0,100.0,23,0.0,468200.0,468200.0,156066.66666666666,0.0,0.0,780333.3333333334,624266.6666666666,0
100036,94056,1.9,2,33.3,50.0,24,0.0,658388.8888888889,188111.1111111111,658388.8888888889,0.0,0.0,188111.1111111111,846500.0,0
100037,82209,1.8,28,10.0,28.6,9,904297.7166666666,3863817.5166666666,164417.76666666666,657671.0666666667,2055222.0833333335,1233133.25,986506.6000000001,2219639.85,0
100038,146754,2.5,12,8.3,41.7,11,587016.6666666666,1467541.6666666667,1467541.6666666667,1320787.5,0.0,293508.3333333333,1907804.1666666665,2788329.1666666665,0
100039,33684,1.0,21,10.5,14.3,24,404210.52631578944,842105.2631578948,33684.21052631579,336842.10526315786,269473.6842105263,370526.3157894737,303157.8947368421,538947.3684210526,0
100040,35718,1.8,87,15.5,28.7,19,750088.5,2321702.5,2214547.0,2071673.0,1393021.4999999998,928681.0,892962.5,2143110.0,0
100041,366117,4.2,24,29.5,25.0,9,3661167.868852459,15376905.049180327,3295051.081967213,3661167.868852459,5857868.590163935,7688452.5245901635,5125635.016393443,11349620.393442621,0
100042,90400,1.7,6,16.7,16.7,12,0.0,0.0,542400.0,90400.0,0.0,180800.0,271200.0,542400.0,0
100043,176976,2.5,11,6.7,0.0,19,1061853.3333333333,6371120.0,530926.6666666666,1061853.3333333333,530926.6666666666,2654633.333333333,3716486.6666666665,6902046.666666667,0
100044,106127,1.8,6,47.1,16.7,8,530634.4117647059,424507.5294117647,849015.0588235294,1061268.8235294118,212253.76470588235,318380.64705882355,212253.76470588235,1591903.2352941176,0
100045,94248,2.3,27,4.8,44.4,24,0.0,2827428.5714285714,1130971.4285714284,659733.3333333333,753980.9523809523,1790704.761904762,753980.9523809523,1884952.380952381,0
100046,48544,1.8,8,4.8,37.5,13,533986.619047619,339809.6666666666,145632.7142857143,388353.90476190473,242721.19047619047,194176.95238095237,194176.95238095237,728163.5714285714,0
100047,334584,2.4,9,29.4,44.4,8,669168.9411764706,3680429.1764705884,1338337.8823529412,2007506.8235294118,1003753.4117647059,334584.4705882353,2342091.2941176468,5018767.05882353,0
100048,90083,2.2,11,16.7,27.3,24,90083.33333333333,450416.6666666667,540500.0,270250.0,180166.66666666666,90083.33333333333,540500.0,900833.3333333333,0
100049,50973,2.0,39,2.7,2.6,12,50973.24324324325,3160341.081081081,560705.6756756757,1223357.8378378379,968491.6216216215,968491.6216216215,611678.9189189189,2344769.189189189,0
100050,57489,2.1,9,26.7,55.6,14,57489.26666666666,804849.7333333334,0.0,57489.26666666666,287446.3333333333,517403.39999999997,0.0,402424.8666666667,0
100051,73319,1.5,16,48.5,25.0,24,146638.78787878787,1979623.6363636365,293277.57575757575,733193.9393939395,733193.9393939395,733193.9393939395,219958.18181818182,1393068.4848484849,0
100052,38604,1.7,6,0.0,33.3,14,193022.22222222222,154417.77777777778,0.0,0.0,154417.77777777778,193022.22222222222,0.0,270231.1111111111,0
100053,39332,1.8,50,4.1,38.0,14,747303.3469387755,2084583.0204081635,1022625.6326530613,432649.306122449,1140620.8979591837,1258616.163265306,1022625.6326530613,1376611.4285714284,0
100054,39298,1.5,51,7.9,52.9,14,982448.4126984127,1178938.0952380951,314383.49206349207,707362.8571428572,903852.5396825396,550171.1111111111,314383.49206349207,471575.2380952381,0
100055,90500,1.0,1,0.0,100.0,24,181000.0,0.0,0.0,0.0,0.0,181000.0,0.0,181000.0,0
100056,57228,1.5,18,3.8,22.2,14,915650.4615384616,572281.5384615385,0.0,457825.2307692308,457825.2307692308,572281.5384615385,0.0,686737.8461538461,0
100057,94616,2.1,47,12.0,31.9,14,1230002.8,8420788.4,2176158.8,2460005.6,2838468.0,5203858.0,1324618.4000000001,4636164.4,0
100058,46637,1.1,25,2.6,72.0,14,93274.20512820513,1259201.7692307692,466371.0256410256,279822.6153846154,886104.9487179487,279822.6153846154,373096.8205128205,886104.9487179487,0
100059,123365,2.5,33,20.3,57.6,12,1357011.0847457626,4811221.118644068,1110281.7966101696,2960751.457627119,1480375.7288135595,986917.1525423729,1850469.661016949,5057950.406779661,0
100060,62348,2.2,11,10.0,36.4,7,124696.0,1122264.0,0.0,311740.0,124696.0,311740.0,498784.0,685828.0,0
100061,125005,1.3,21,7.8,38.1,9,500018.98039215687,4750180.31372549,1125042.705882353,1125042.705882353,3000113.882352941,500018.98039215687,1750066.4313725492,4000151.843137255,0
100062,80050,2.0,4,0.0,25.0,24,0.0,320200.0,0.0,0.0,160100.0,80050.0,80050.0,240150.0,0
100063,147909,3.6,18,18.4,61.1,9,1627002.4736842106,2810277.0,1183274.5263157894,295818.63157894736,1922821.105263158,2366549.052631579,1035365.2105263157,4141460.842105263,0
100064,70981,1.7,10,3.0,50.0,12,0.0,1561574.6666666665,780787.3333333333,1277652.0,141961.33333333334,851768.0,70980.66666666667,1632555.3333333335,0
100065,78641,2.4,11,35.3,72.7,24,0.0,943694.1176470589,393205.8823529412,314564.70588235295,393205.8823529412,157282.35294117648,471847.05882352946,943694.1176470588,0
100066,102457,1.9,19,3.4,57.9,21,307371.8275862069,1741773.6896551722,922115.4827586208,819658.2068965518,922115.4827586208,307371.8275862069,922115.4827586208,1741773.6896551724,0
100067,84524,1.0,6,5.9,16.7,6,0.0,1436900.0,0.0,169047.0588235294,760711.7647058824,507141.17647058825,0.0,1014282.3529411764,0
100068,193388,1.3,12,0.0,66.7,9,0.0,4254546.153846154,773553.8461538462,1933884.6153846155,580165.3846153846,773553.8461538462,1740496.1538461538,4447934.615384615,0
100069,159400,1.0,8,33.3,25.0,9,159400.0,797000.0,478200.0,956400.0,318800.0,0.0,159400.0,1275200.0,0
100070,80820,1.4,5,0.0,100.0,7,0.0,242460.0,161640.0,161640.0,0.0,161640.0,80820.0,404100.0,0
100071,51252,1.6,25,3.1,32.0,13,615020.25,871278.6875,153755.0625,717523.625,205006.75,410013.5,307510.125,1230040.5,0
100072,69667,1.3,1,33.3,100.0,24,0.0,69666.66666666666,139333.3333333333,209000.0,0.0,0.0,0.0,209000.0,0
100073,140635,1.8,24,6.9,12.5,14,562538.4827586206,2531423.1724137934,984442.3448275862,1406346.206896552,1125076.9655172413,843807.724137931,703173.103448276,3234596.275862069,0
100074,54600,2.3,3,33.3,33.3,11,0.0,163800.0,0.0,163800.0,0.0,0.0,0.0,163800.0,0
100075,152037,3.5,5,21.1,60.0,18,1216294.7368421052,1672405.2631578948,0.0,152036.84210526315,456110.52631578944,456110.52631578944,1824442.1052631577,1824442.1052631577,0
100076,53613,1.4,5,20.0,40.0,14,0.0,268064.0,268064.0,375289.6,0.0,0.0,160838.4,268064.0,0
100077,49990,1.4,8,0.0,50.0,24,0.0,399920.0,99980.0,99980.0,49990.0,249950.0,99980.0,449910.0,0
100078,49104,1.4,33,6.7,21.2,14,98208.23333333334,2700726.4166666665,147312.35,1080290.5666666667,1178498.8,441937.05,245520.5833333333,883874.1000000001,0
100079,65750,2.5,4,50.0,75.0,24,0.0,131500.0,131500.0,0.0,0.0,131500.0,131500.0,197250.0,0
100080,148000,3.5,5,16.7,60.0,19,296000.0,592000.0,0.0,444000.0,148000.0,148000.0,148000.0,740000.0,0
100081,69129,1.2,11,0.0,81.8,24,0.0,760423.5294117647,414776.4705882353,414776.4705882353,0.0,0.0,760423.5294117647,829552.9411764706,0
100082,96830,1.9,12,3.3,41.7,14,1549275.7333333334,290489.2,1065127.0666666667,1065127.0666666667,484148.6666666666,1258786.5333333334,96829.73333333334,871467.6000000001,0
100083,86008,2.2,19,26.9,26.3,24,344032.0,1290120.0,602056.0,1290120.0,258024.0,344032.0,344032.0,1462136.0,0
