custid,gender,총구매액,구매건수,평균구매가격,평균할부개월수,구매브랜드종류,내점일수,수입상품_구매비율,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,저녁_구매건수,점심_구매건수,주구매코너
18,0,680100,15,45340,1.7,9,10,26.7,100.0,,9.0,6.0,,,6.0,9.0,화장품
21,0,353450,9,39272,1.2,6,8,11.1,37.5,,5.0,4.0,,3.0,,6.0,영캐주얼
23,0,5671400,36,157539,2.8,22,16,5.6,37.5,7.0,17.0,12.0,,10.0,11.0,15.0,장신구
26,0,1964000,28,70143,1.4,15,14,39.3,28.6,5.0,8.0,15.0,,,18.0,10.0,화장품
35,0,885000,5,177000,6.0,5,2,0.0,100.0,,,5.0,,,5.0,,피혁A
50,0,3580200,36,99450,2.4,27,20,0.0,50.0,7.0,7.0,8.0,14.0,1.0,11.0,24.0,영캐주얼
69,0,816300,14,58307,1.7,10,10,7.1,40.0,4.0,4.0,6.0,,,3.0,11.0,유니캐주얼
82,0,752200,5,150440,2.6,5,3,60.0,100.0,,,5.0,,,,5.0,화장품
92,0,1145400,13,88108,1.9,7,9,23.1,22.2,1.0,,2.0,10.0,1.0,8.0,4.0,화장품
100,0,442160,16,27635,1.0,10,6,25.0,33.3,,5.0,11.0,,,3.0,13.0,화장품
102,0,590000,5,118000,3.0,4,4,20.0,100.0,3.0,1.0,,1.0,,,5.0,피혁A
103,0,836600,15,55773,2.1,13,12,26.7,41.7,4.0,3.0,4.0,4.0,,8.0,7.0,유니캐주얼
126,0,1892400,41,46156,1.6,26,28,19.5,39.3,10.0,7.0,3.0,21.0,4.0,14.0,23.0,화장품
148,0,2897110,24,120713,1.5,18,15,0.0,26.7,6.0,6.0,8.0,4.0,5.0,1.0,18.0,유니캐주얼
154,0,285000,4,71250,2.0,3,2,50.0,0.0,,,4.0,,,4.0,,화장품
161,0,2215000,28,79107,1.9,21,15,0.0,40.0,2.0,6.0,8.0,12.0,,12.0,16.0,섬유
174,0,433600,8,54200,2.6,5,4,0.0,50.0,,5.0,,3.0,,5.0,3.0,영캐주얼
175,0,6466400,66,97976,2.0,38,33,10.6,57.6,17.0,26.0,16.0,7.0,7.0,11.0,48.0,화장품
186,0,2305740,32,72054,2.0,19,16,15.6,68.8,11.0,4.0,2.0,15.0,,17.0,15.0,화장품
196,0,3581560,36,99488,1.7,21,23,41.7,43.5,9.0,26.0,,1.0,6.0,22.0,8.0,니트단품
214,0,429400,10,42940,1.8,9,8,0.0,25.0,7.0,2.0,,1.0,,7.0,3.0,유니캐주얼
216,0,1906100,35,54460,1.0,26,18,5.7,16.7,16.0,6.0,10.0,3.0,7.0,9.0,19.0,영캐주얼
217,0,208900,4,52225,1.5,2,1,25.0,100.0,,,4.0,,,,4.0,일반식품
220,0,870470,7,124353,2.9,7,6,0.0,50.0,1.0,2.0,3.0,1.0,,2.0,5.0,영캐주얼
224,0,31000,1,31000,1.0,1,1,0.0,0.0,,1.0,,,,1.0,,화장품
239,0,407480,8,50935,1.8,8,6,12.5,50.0,3.0,,2.0,3.0,,1.0,7.0,화장품
252,0,101000,1,101000,3.0,1,1,0.0,0.0,,,1.0,,1.0,,,화장품
255,0,61000,2,30500,1.0,2,1,50.0,100.0,,2.0,,,,2.0,,화장품
261,0,1639035,19,86265,2.1,9,9,36.8,11.1,5.0,10.0,4.0,,,5.0,14.0,일반식품
263,0,115000,2,57500,1.0,2,2,0.0,50.0,,,,2.0,,1.0,1.0,스포츠
267,0,1306020,21,62191,1.7,16,19,0.0,47.4,4.0,4.0,4.0,9.0,3.0,8.0,10.0,캐릭터캐주얼
271,0,1269180,40,31730,1.4,25,29,0.0,34.5,21.0,16.0,3.0,,3.0,20.0,17.0,유니캐주얼
302,0,3017320,36,83814,1.8,25,29,0.0,13.8,8.0,8.0,10.0,10.0,8.0,5.0,23.0,화장품
304,0,2178300,12,181525,2.5,11,10,0.0,40.0,5.0,2.0,2.0,3.0,,5.0,7.0,스포츠
310,0,6307200,94,67098,1.8,41,46,18.1,41.3,26.0,25.0,16.0,27.0,9.0,36.0,49.0,화장품
322,0,386200,7,55171,1.6,4,6,71.4,16.7,3.0,2.0,2.0,,1.0,3.0,3.0,화장품
325,0,2180500,34,64132,2.2,25,30,14.7,46.7,5.0,14.0,12.0,3.0,5.0,5.0,24.0,영캐주얼
346,0,2228100,16,139256,2.5,13,8,6.2,37.5,1.0,8.0,7.0,,,11.0,5.0,섬유
355,0,12238000,48,254958,1.6,32,18,37.5,27.8,16.0,8.0,18.0,6.0,2.0,17.0,29.0,수입명품
363,0,454800,5,90960,3.0,4,4,20.0,25.0,,,5.0,,,4.0,1.0,기타바이어
