국가           확진자 사망자 완치 사망률 완치율 인구수
말레이시아    9114   125    8817  1.4     96.7     32365999 
중국             84740  4636  79361 5.5    93.7     1439323776
대한민국      14470   305    13817 2.1    93.5     51269185
이탈리아      251713 35225 202697 14    80.5    60461826
러시아         902701 15260 710298  1.7   78.7    145934462  
브라질      3170474 104263 2309477 3.3   72.8    212559417
인도         2395471  47138  1695680 2.0   70.8   1380004385
일본            52139  1079    35539    2.1   68.2    126476461
미국         5360291 169131 2812576 3.2   52.5    331002651
영국          313798  46706   344       14.9  0.1     67886011







2020.08.13 오전 10.12.31
